X,Y,ID,SWID,IsSWFacility,Name,Type,Recycling,Trash,EWaste,HHW,FoodScraps,CD,CleanWood,LeafYardDebris,MaterialSpecifics,Address,Town,State,Zip,County,MailingAddress,MailingCity,MailingState,MailingZip,Telephone,Email,Website,Active,LastVisitDate,Latitude,Longitude
447556.416464447,-1213.5142701792,1,N/A,No,Holiday Brook Farm,Food Scraps Management Facility,NO,NO,NO,NO,YES,,YES,YES,,100 Holiday Cottage Rd,Dalton,MA,01226,,,,,,413-684-0444,dicken@holidaybrookfarm.com,http://www.holidaybrookfarm.com,1,,42.4872813739231,-73.1379336118698
489811.719301903,13970.2665425291,2,N/A,No,Martin's Farm Compost,Food Scraps Management Facility,NO,NO,NO,NO,YES,,YES,YES,,341 Plain Rd,Greenfield,MA,01301,,,,,,413-774-5631,bobwmartin@comcast.net,http://www.martinsfarmrecycling.com,1,,42.6257492955112,-72.6241993904114
516519.711000479,7661.90514466608,3,N/A,No,Clear View Composting,Food Scraps Management Facility,NO,NO,NO,NO,YES,,YES,YES,,159 Quabbin Blvd,Orange,MA,01364,,PO Box 556,Orange,MA,01364,978-544-5872,clearviewcomposting@aol.com,,1,,42.5687902888225,-72.2987723350525
526038.814511117,97118.4334373569,5,N/A,No,Always Something Farm,Food Scraps Management Facility,NO,NO,NO,NO,YES,,YES,YES,no meat or dairy food residuals,407 NH Route 10,Croydon,NH,03773,,122 Glidden Road,Croydon,NH,03773,603-863-6787,Gary@ASFarm.com,,1,,43.373829665408,-72.1786522865295
519095.18227241,47148.0217336956,6,N/A,No,City of Keene,Food Scraps Management Facility,NO,NO,NO,NO,NO,,YES,YES,,350 Marlboro Street,Keene,NH,03431,,,,,,"603-352-5739, ext 2",dwatson@ci.keene.nh.us,http://www.ci.keene.nh.us,1,,42.9241574789107,-72.2661244869232
433943.210310494,162825.533446208,8,AD060,Yes,Bridport Recycling Center,Recycling Center,YES,YES,NO,NO,YES,,NO,YES,scrap metal,Happy Valley Rd,Bridport,VT,05734,Addison,,,,,802-758-2483,,,1,2023/05/17 00:00:00+00,43.9627393,-73.32310629
452700.897156544,173087.548541882,9,AD840,Yes,Cook's Pit,Recycling Center,NO,NO,NO,NO,NO,,NO,NO,"Asphalt, Brick and Concrete recycling only",Route 116,Bristol,VT,05443,Addison,,,,,802-453-4678,,,1,2020/08/07 00:00:00+00,44.0565359999335,-73.0903029441834
451295.203124717,151886.152871588,13,AD183,Yes,Leicester Drop-off,Recycling Center,YES,YES,NO,NO,YES,,NO,YES,,2241 Fern Lake Rd,Leicester,VT,05752,Addison,,,,,802-247-5961,,,1,,43.86563996,-73.10588971
461146.981103705,181299.329009516,14,AD301,Yes,Lincoln Drop-off,Recycling Center,YES,YES,NO,NO,YES,,NO,YES,scrap metal,1111 Downingsville Rd,Lincoln,VT,05443,Addison,,,,,802-453-2980,,,1,2021/12/02 00:00:00+00,44.13088181,-72.98554226
445020.216308265,167791.210496871,15,N/A,No,Middlebury College  -College only compost facility,Food Scraps Management Facility,NO,NO,NO,NO,YES,,YES,YES,college material only,809 College Street,Middlebury,VT,05753,Addison,,,,,802-443-3087,recycling@middlebury.edu,http://www.middlebury.edu/offices/business/recycle/compost,1,,44.00825495,-73.18562815
449489.649719765,166011.056890354,16,AD010,Yes,Vermont Natural Ag. Products,Food Scraps Management Facility,NO,NO,NO,NO,YES,,YES,YES,Residents should bring materials to ACSWMD transfer station: (802) 388-2333,297 Lower Foote Street,Middlebury,VT,05753,Addison,,,,,802-388-1137,,,1,2024/06/26 00:00:00+00,43.99261601,-73.12971631
446223.546703458,170792.568097764,17,N/A,No,Good Point Recycling (private),Recycling Center,NO,NO,YES,NO,NO,NO,NO,NO,,2227 Pond Lane,Middlebury,VT,05753,Addison,,,,,,,https://goodpointrecycling.net/,1,,44.03536351,-73.17094558
446175.052439634,169759.579383704,18,AD002,Yes,"Casella Waste Management, Inc.",Transfer Station,YES,NO,NO,NO,NO,,NO,NO,,533 Exchange St,Middlebury,VT,05753,Addison,,,,,802-223-7221,,,1,2021/04/02 00:00:00+00,44.02605707,-73.17138547
448608.509671319,166173.403172287,19,AD401,Yes,Addison County SWMD Transfer Station,Hazardous Waste,YES,YES,YES,YES,YES,YES,YES,YES,,1223 Route 7 South,Middlebury,VT,05753,Addison,,,,,802-388-2333,,https://www.addisoncountyrecycles.org/about/us/hours-locations,1,2024/10/22 00:00:00+00,43.99404651,-73.1407103
450549.673565506,194949.065901214,20,AD302,Yes,Monkton Town Drop Off,Transfer Station,YES,YES,NO,NO,YES,,NO,YES,,4047 States Prison Hollow Rd,Monkton,VT,05469,Addison,,,,,802-453-3800,,,1,2023/05/17 00:00:00+00,44.25312174,-73.11922592
435048.977088514,142902.454797968,22,N/A,No,Seguin Services LLC,Transfer Station,YES,YES,NO,NO,YES,,NO,YES,,334 Rt 22A,Orwell,VT,05760,Addison,,,,,,,https://www.facebook.com/SeguinServicesLLC/,1,,43.78349811,-73.30693956
457714.795791134,163953.35234526,23,AD303,Yes,Ripton Recycling Center,Recycling Center,YES,YES,NO,NO,YES,,NO,YES,,Peddler's Bridge Rd,Ripton,VT,05766,Addison,,,,,8002-388-2286,,,1,2020/02/12 00:00:00+00,43.97461065,-73.02695596
434412.607698465,155098.155277525,24,AD304,Yes,Shoreham Recycling Center,Recycling Center,YES,YES,NO,NO,YES,,NO,YES,,28 School Rd,Shoreham,VT,05770,Addison,,,,,802-897-5841,,,1,,43.89319351,-73.31633137
455859.099289185,189955.312293418,25,AD305,Yes,Starksboro Drop-off,Recycling Center,YES,YES,NO,NO,YES,,NO,YES,,3904 rt 116,Starksboro,VT,05487,Addison,,,,,802-453-2639,,,1,2019/09/11 00:00:00+00,44.20853555,-73.05233901
442858.502300585,171920.880349856,26,AD307,Yes,Weybridge Drop-off,Recycling Center,YES,YES,NO,NO,YES,,NO,YES,,460 Quaker Village Rd,Weybridge,VT,05753,Addison,,,,,802-545-2450,,,1,2023/05/17 00:00:00+00,44.04528543,-73.21296748
443619.843190848,151157.924479198,27,AD308,Yes,Whiting Recycling Center,Recycling Center,YES,YES,NO,NO,YES,,NO,YES,,79 S. Main Street,Whiting,VT,05778,Addison,,,,,802-623-7813,,,1,2024/09/24 00:00:00+00,43.858531,-73.201251
443199.781226015,46823.0910603713,28,BN081,Yes,Bennington Transfer Station,Hazardous Waste,YES,YES,YES,YES,YES,YES,YES,YES,"Also accept: Tires, Universal Waste, Used Oil, Scrap Metal.",904 Houghton Lane,Bennington,VT,05201,Bennington,"205 South Street, Box 469",Bennington,VT,05201,802-651-5454,,,1,2024/07/25 00:00:00+00,42.919434,-73.195656
458818.178469918,80451.098184326,29,BN200,Yes,Northshire Transfer Station & Recycling Center,Transfer Station,YES,YES,YES,YES,YES,YES,YES,YES,,310 Tennis Way,East Dorset,VT,05251,Bennington,,,,,802-236-5973,,,1,2022/10/13 00:00:00+00,43.2230637,-73.0069044
