permit_id,company,contact,address,town,state,phone,permit_year,waste_types,bear_resistant,service_area
2491,802 Clean Out Services LLC,Mike Heath,188 McMullen Rd,Milton,VT,8023387169,2025,HS,No,&nbsp;
2774,802 Dumpster Rental LLC DBA Vermont Dumpster Rentals,Taylor Lovely,112 West Street,Essex Junction,VT,8025039400,2025,S,No,&nbsp;
2276,9063-3314 Quebec Inc.,"Dany Gaucher, President",8970 De La Pointe Du Jour,St-Hyacinthe,QC,4502234262,2025,SR,No,&nbsp;
2275,9106-9971 Quebec Inc.,"Lily Pinard, President",419 Rue Dupont,St-Dominique,QC,450-223-4262,2025,SR,No,&nbsp;
2419,"A&amp;D Excavating, LLC",Dylan Gendron,1036 South Richford Road,Richford,VT,8023702194,2025,R,No,&nbsp;
6,"A.B.L.E. Waste Management, Inc.",Arthur Lynds &amp; Benjamin Lynds,1515 Lynds Hill Road,Plymouth,VT,8026723569,2025,S,Yes,&nbsp;
790,"A.C. Wright, LLC dba Clark-Wright Septic Service",Chad E. Wright,1577 Burpee Road,Bristol,VT,8024533108,2025,R,No,&nbsp;
9,"A-1 Sewer &amp; Drain Service, Inc.",Nick &amp; Jaymie Rudenis,46 Walker Mt. Rd.,No. Clarendon,VT,8024385722,2025,R,No,&nbsp;
559,"A1, Inc.",Erin Scott,28 Cross Road,Clarksburg,MA,413-663-8351,2025,R,No,&nbsp;
2290,Aaron B. Lane dba GIT-R-GONE Rubbish &amp; Recycling,Aaron B. Lane,836 Old Harbour Road,Woodford,VT,8024510727,2025,S,No,&nbsp;
2664,Aaron&#39;s Cleanouts LTD. CO.,Fletcher Loomis,133 Northside Drive,Bennington,VT,8026884797,2025,S,No,&nbsp;
2261,Abanaki Inc.,"Christine Maseroni, President",3036 US Rt 7,Pittsford,VT,8024839900,2025,S,No,&nbsp;
2225,"Absolute Spill Response, LLC",Melissa Audy,21 Metro Way,Barre,VT,8022422011,2025,HS,No,&nbsp;
2172,"Acker Waste Management, LLC",Wade Acker,11 B Liberty St,Bristol,VT,8024536701,2025,S,No,&nbsp;
673,ACSWMD (Addison County Solid Waste Management District),Donald Maglienti,1223 Route 7 S,Middlebury,VT,8023882333,2025,S,No,&nbsp;
612,ACV Environmental Services Inc,Lorena Mercado,928 East Hazelwood Avenue,Rahway,NJ,7323759988,2025,HS,No,&nbsp;
2243,Adam Stone Trucking LLC,"Adam Stone, Owner",211 Martin Road,Williamstown,VT,8024772799,2025,S,No,&nbsp;
2722,"Adams Trucking &amp; Excavating, Inc.",Hayley Cummings,P.O. Box 133,Westminster,VT,8024632213,2025,S,No,&nbsp;
911,Aftermath Services LLC,Michael Vena,"75 Executive Drive, Suite 200",Aurora,IL,630-423-4278,2025,SM,No,&nbsp;
